config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
t_train_x0.25,global_sign_pres,0,0.8,1.0,0.5,500,375,500,4.349125862121582,84.97161146840034
t_train_x0.25,binary+shuffle,0,0.8,1.0,0.5,500,375,500,4.925450325012207,118.6083028882462
t_train_x0.25,real,0,0.8,1.0,1.0,500,375,500,3.744985580444336,89.31126491742312
t_train_x0.25,shuffle_weights,0,0.8,1.0,1.0,500,375,500,5.323856830596924,99.67695200534375
t_train_x0.25,cel_randN,0,0.8,1.0,1.0,500,375,500,5.939072608947754,140.52651899529673
t_train_x0.25,er_randN,0,0.8,1.0,1.0,500,375,500,7.2751264572143555,74.70083280626245
t_train_x0.25,ws_p01_randN,0,0.8,1.0,1.0,500,375,500,7.483654022216797,77.25535266796082
t_train_x0.25,conn_shuf,0,0.8,1.0,1.0,500,375,500,4.152318000793457,87.44775303138363
t_train_x0.25,local_sign,0,0.8,1.0,1.0,500,375,500,4.609796524047852,117.35590723348734
t_train_x0.25,conn_shuf_only,0,0.8,1.0,1.0,500,375,500,3.959209442138672,101.29043977132423
t_train_x0.25,cel_sample,0,0.8,1.0,1.0,500,375,500,3.163384199142456,65.25455196434561
t_train_x0.25,local_sign+flat,0,0.8,1.0,1.0,500,375,500,2.374882459640503,53.77961164786455
t_train_x0.25,local_sign+sample,0,0.8,1.0,1.0,500,375,500,3.925352096557617,90.98289993722314
